,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Lebanese Lemon Salad Dressing,5.0,176,0.0,0.2,3.0,0.0,2.0,0.0,145.0,33.0,0.2,4.47474765777588,164512/lebanese-lemon-salad-dressing/,lebanese,3.0,321.0,1.0,0.0,Lebanese Lemon Salad Dressing,2.4,18.7,5IU,0.0,10.0
Cilantro and Garlic Potatoes,34.0,250,0.0,4.4,37.0,2.0,46.0,3.0,66.0,847.0,4.1,4.15942049026489,83246/cilantro-and-garlic-potatoes/,lebanese,2.0,17.0,2.0,0.0,Cilantro and Garlic Potatoes,33.4,11.8,782IU,1.0,41.0
Chicken Shawarma,168.0,402,58.0,4.0,108.0,4.0,60.0,13.0,69.0,554.0,23.3,3.85294127464294,52407/chicken-shawarma/,lebanese,3.0,420.0,5.0,1.0,Chicken Shawarma,44.0,15.2,755IU,0.0,14.0
Best Hummus,11.0,27,0.0,0.6,9.0,0.0,5.0,0.0,104.0,29.0,0.7,4.436363697052,231081/best-hummus/,lebanese,0.0,28.0,0.0,0.0,Best Hummus,2.5,1.7,94IU,0.0,2.0
Lebanese Lemon Lentil Soup,62.0,268,12.0,13.9,218.0,4.0,60.0,4.0,88.0,509.0,12.0,4.339622497558589,223354/lebanese-lemon-lentil-soup/,lebanese,3.0,755.0,2.0,0.0,Lebanese Lemon Lentil Soup,37.8,8.2,2408IU,0.0,15.0
Traditional Hummus,152.0,560,0.0,5.9,76.0,4.0,49.0,4.0,73.0,248.0,8.6,4.48888874053955,223276/traditional-hummus/,lebanese,7.0,244.0,0.0,0.0,Traditional Hummus,22.5,50.5,37IU,0.0,3.0
Lebanese Garlic Sauce,13.0,191,0.0,0.2,1.0,0.0,2.0,0.0,45.0,38.0,0.5,3.92105269432068,64229/lebanese-garlic-sauce/,lebanese,3.0,74.0,0.0,0.0,Lebanese Garlic Sauce,3.0,20.3,2IU,0.0,6.0
"Chard Lentil Soup, Lebanese-Style",59.0,361,0.0,11.8,151.0,4.0,91.0,5.0,40.0,1124.0,10.5,4.59459447860718,234775/chard-lentil-soup-lebanese-style/,lebanese,2.0,931.0,3.0,0.0,"Chard Lentil Soup, Lebanese-Style",50.7,14.0,1120IU,1.0,58.0
Chocolate Decadence Yule Log,44.0,377,98.0,1.6,26.0,2.0,21.0,2.0,104.0,98.0,6.0,3.926470518112181,15704/chocolate-decadence-yule-log/,french,8.0,230.0,50.0,0.0,Chocolate Decadence Yule Log,58.8,14.1,353IU,0.0,0.0
Gratin Dauphinois de Solange,493.0,627,180.0,3.3,32.0,1.0,56.0,6.0,13.0,746.0,17.2,4.875,246439/gratin-dauphinois-de-solange/,french,31.0,209.0,1.0,0.0,Gratin Dauphinois de Solange,29.5,49.9,1845IU,1.0,31.0
